movie_id,person_id,credit_id,department,job
76600,2710,52fe4943c3a368484e122b45,Directing,Director
76600,2710,52fe4943c3a368484e122b57,Writing,Screenplay
76600,2710,57927bbac3a3684012004e85,Writing,Characters
76600,507,57927bc5c3a3681878002526,Writing,Screenplay
76600,6039,57927bd9c3a368286d001b1a,Writing,Writer
76600,2710,57927befc3a3683a84001139,Production,Producer
76600,8529,57927bfb9251413d7500196c,Production,Producer
76600,2710,57927c089251416dad00489b,Editing,Editor
76600,995644,57927c169251414b3b000eee,Art,Production Design
76600,1289015,57927c269251413ce1001a24,Art,Production Design
76600,900,57927c649251413ce1001a50,Sound,Sound Re-Recording Mixer
76600,900,57927c6fc3a3683a8400119c,Sound,Supervising Sound Editor
76600,900,57927c769251416dad0048d9,Sound,Sound Designer
76600,1418395,57927c7fc3a368187800259d,Visual Effects,Visual Effects Supervisor
76600,66696,59ced5bcc3a3681e37007184,Production,Production Supervisor
76600,1493726,59cebabd9251412f31003cf7,Crew,Stunts
76600,1670762,59cebb1b9251412ef3003ead,Costume & Make-Up,Set Costumer
76600,1755689,59cebbe79251412f1f003df3,Costume & Make-Up,Ager/Dyer
76600,1463806,59cebc0fc3a3681e97003e84,Costume & Make-Up,Ager/Dyer
76600,1316586,59cebd06c3a3681e17003f15,Production,Casting Associate
76600,1212142,59cebd91c3a3681e08003fdc,Production,Researcher
76600,1722384,59cebe1ac3a3681e28004239,Crew,Set Medic
76600,1357070,59cebe559251412edb00420f,Crew,Transportation Coordinator
76600,1897191,59cebf7bc3a3681e4b00408e,Camera,Grip
76600,1897192,59cebfcbc3a3681e9700453f,Lighting,Gaffer
166426,770,52fe4c9cc3a36847f8236a65,Production,Producer
166426,1705,592f443cc3a3685cf7000019,Writing,Characters
166426,1706,591298d6c3a36864fc04d1a4,Production,Executive Producer
166426,1706,52fe4c9cc3a36847f8236a5f,Writing,Characters
166426,1706,591298289251414e8904f223,Writing,Story
166426,1707,592f4472c3a3685c9f000055,Writing,Characters
166426,1708,592f44a3c3a3685cf700006d,Writing,Characters
166426,1720,5912991c9251414e8904f2eb,Production,Casting
166426,2444,591298e49251414e8d04b71b,Production,Executive Producer
166426,2446,591298b69251414e8904f2a3,Production,Executive Producer
166426,553,591299399251414eca04b0ea,Art,Art Direction
166426,900,59d78c58c3a368622700ea98,Sound,Supervising Sound Editor
166426,900,59d78c08c3a36861ec00f781,Sound,Sound Re-Recording Mixer
166426,1302,59129912c3a36865190484f2,Production,Casting
166426,2689,52fe4c9cc3a36847f8236a59,Writing,Screenplay
166426,2689,591298179251414ead04a465,Writing,Story
166426,4034,5912998cc3a36864a704c424,Costume & Make-Up,Costume Design
166426,10570,591298a89251414e8d04b6f7,Production,Executive Producer
166426,8078,59d78b23925141252c00efdf,Sound,Foley Editor
166426,9817,59129928c3a36864fc04d1d1,Art,Production Design
166426,10123,57e2934092514123f5005863,Editing,Editor
166426,12562,59d78a41c3a368623e00f321,Sound,ADR Supervisor
166426,19290,591298909251414e8504de09,Camera,Director of Photography
166426,17767,591298809251414e9204e1be,Sound,Original Music Composer
166426,33195,59129943c3a36864ec048b48,Art,Art Direction
166426,20307,52fe4c9cc3a36847f8236a6b,Directing,Director
166426,20308,52fe4c9cc3a36847f8236a71,Directing,Director
166426,52165,59d63c1c9251417f5c011c3c,Costume & Make-Up,Hair Department Head
166426,37281,59129907c3a368646b05269b,Production,Casting
166426,37284,59d78d49c3a368622700ebd2,Art,Property Master
166426,52370,591299639251414e8d04b769,Art,Art Direction
166426,113073,59d78bbd92514124cd00fa55,Sound,Sound Re-Recording Mixer
166426,60597,59d63aee9251417f4001247b,Costume & Make-Up,Costume Supervisor
166426,61486,591299569251414e8004df05,Art,Art Direction
166426,62723,59d63f32c3a3683259010ec1,Editing,Digital Intermediate
166426,62745,591299749251414eca04b110,Art,Set Decoration
166426,76593,59d639029251417f18011cf9,Camera,Additional Still Photographer
166426,75375,59d63cb2c3a3683217012c72,Costume & Make-Up,Makeup Department Head
166426,79790,59d636b3c3a368324a010158,Lighting,Gaffer
166426,136364,59d78ba7c3a368620000fb36,Sound,Sound Effects Editor
166426,143913,59d78a0f92514124cd00f8db,Sound,ADR Editor
166426,979175,59d63819c3a3683267011d8f,Camera,Second Unit Director of Photography
166426,1171624,591299efc3a368646b052740,Visual Effects,Lead Animator
166426,1191111,59d78b53925141251400fa92,Sound,Sound Effects Editor
166426,1204244,57e29350c3a3681a50005ab1,Editing,Editor
166426,1296653,59129a1cc3a36864ec048bdf,Editing,Assistant Editor
166426,1314457,59d63c859251417f180120e2,Costume & Make-Up,Key Hair Stylist
166426,1322466,59d63ad99251417f28011367,Costume & Make-Up,Costume Supervisor
166426,1323257,59d63b4ac3a3683259010a8e,Costume & Make-Up,Set Costumer
166426,1335569,59129a469251414edb04e685,Sound,Music Editor
166426,1338372,59d78aecc3a368623e00f3d0,Sound,Foley
166426,1345595,59d78bd192514124eb00f2cb,Sound,Sound Re-Recording Mixer
166426,1363865,59d78853c3a368624d00ed51,Visual Effects,Visual Effects Supervisor
166426,1367493,59d78ad0925141250500edaf,Sound,Foley
166426,1372835,59d63d619251417f40012724,Costume & Make-Up,Makeup Artist
166426,1373716,59d787b8c3a368620000f764,Visual Effects,Visual Effects Supervisor
166426,1376899,59d78a1f92514124cd00f8e4,Sound,ADR Editor
166426,1376901,59d78a2f92514124c900f5fc,Sound,ADR Editor
166426,1377131,59d639269251417f18011d21,Camera,Additional Photography
166426,1379517,59d4ed879251414b7f019453,Crew,Aerial Coordinator
166426,1379517,59d4ee40c3a3684528018db4,Crew,Pilot
166426,1384371,59d785bfc3a36861a300eb3e,Crew,Visual Effects Editor
